"Group.1","LATITUDE","LONGITUDE"
"AMEENPUR, BEERAMGUDA",17.4884968763158,78.3143795105263
"AMEERPET, SANATH NAGAR",17.4365474344737,78.4443450463158
"Aparna Towers",17.4585383727273,78.4282886886364
"Begampet line",17.4375391279365,78.4656182195238
"FINANCIAL DISTRICT",17.4341945296703,78.3185070263736
"Golf View Agent (Kumar Swamy)",17.3844358,78.32559563
"HICC ",17.46269193,78.373756095
"Himayathnagar line",17.409896868254,78.4808760174603
"Hitech City",17.4490997050505,78.3723492383838
"JAINS CARLTON CREEK",17.4219040105263,78.3738785157895
"jubilee hills,mehdipatnam,khairatabad route",17.417789794697,78.4770340015152
"KOKAPET",17.3957262511628,78.3320796232558
"Kondapur&RTO office",17.4587755776316,78.3633223486842
"Kphb 6th phase and Kphb 9th phase",17.4512484833333,78.3615419893939
"KPHB5-JNTU",17.453772086,78.368125854
"L AND T",17.4477829014925,78.3602264402985
"Lodha and RTP",17.4497557722222,78.3648167333333
"Manikonda",17.41795186,78.3725253111111
"Manikonda 2",17.4080443714286,78.3685126761905
"Mantri",17.425691,78.3342375
"MASJIDBANDA",17.4636158147059,78.3453417294118
"Miyapur",17.4882427180723,78.3596791518072
"Moosapet",17.4669772287879,78.4003650045454
"My Home Abhra",17.4463612745283,78.3789834433962
"NALLAGANDLA 1",17.4674875742857,78.3100741957143
"PBEL CITY ROUTE",17.444873237037,78.3595157444445
"Pragathinagar Bhavyanagar V.V.nagar",17.406063146,78.402299252
"RICHMOND VILLAS",17.4470847225806,78.3660166193548
"Secunderabad line",17.4430206777027,78.5024072310811
"SMR FOUNTAINHEAD & MATRUSREE NAGAR",17.4756679243243,78.3665784432432
"SRINIVAS",17.44794284,78.3594668428571
"SUBBARAO",17.4474637363636,78.3619030878788
"SUBRAMANIAM TELECOMNAGAR",17.4292849288462,78.3725061
"TEJA CHANDANAGAR",17.4894278098765,78.3400112111111
"Teja chandanagar 2",17.4765000297297,78.3523742351351
"Telecomnagar",17.4327352382812,78.3688506046875
"TOLICHOWKI, ATTAPUR",17.4123452738095,78.3987530619048
"VIVEKANANDA NAGAR ,ALLWYN  COLONY",17.4758446101449,78.3873568507246
"WHITE FIELDS 2",17.4516586461538,78.3657011307692
"WhiteFields",17.4526025699187,78.3652321821138
"NEW AREA CUSTOMERS",17.5108501800948,78.4238213554502
